,name,scdid,scid,nseId,bseId,stkname,scdid_href,stkname_href,href
361,Prism Cement,PC,PC,PRSMJOHNSN,500338,prismjohnson,PC,prismjohnson,https://www.moneycontrol.com/india/stockpricequote/cementmajor/prismjohnson/PC
362,Procter&Gamble,M12,EMI,PGHL,500126,proctergamblehealth,M12,proctergamblehealth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/proctergamblehealth/M12
363,PTC India,PTC02,PTC01,PTC,532524,ptcindia,PTC02,ptcindia,https://www.moneycontrol.com/india/stockpricequote/trading/ptcindia/PTC02
364,PVR,PVR,PVR,PVR,532689,pvr,PVR,pvr,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR
365,Quess Corp,QC,QC,QUESS,539978,quesscorp,QC,quesscorp,https://www.moneycontrol.com/india/stockpricequote/engineering/quesscorp/QC
366,Radico Khaitan,RK01,RK01,RADICO,532497,radicokhaitan,RK01,radicokhaitan,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01
367,Rail Vikas,RVN,RVN,RVNL,542649,railvikasnigam,RVN,railvikasnigam,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/railvikasnigam/RVN
368,Rain Industries,RC12,PC13,RAIN,500339,rainindustries,RC12,rainindustries,https://www.moneycontrol.com/india/stockpricequote/cementmajor/rainindustries/RC12
369,Rajesh Exports,RE07,RE07,RAJESHEXPO,531500,rajeshexports,RE07,rajeshexports,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/rajeshexports/RE07
370,Rallis India,RI03,RI03,RALLIS,500355,rallisindia,RI03,rallisindia,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/rallisindia/RI03
371,Ramco Cements,MC,MC,RAMCOCEM,500260,theramcocements,MC,theramcocements,https://www.moneycontrol.com/india/stockpricequote/cementmajor/theramcocements/MC
372,Rashtriya Chem,RCF01,RCF01,RCF,524230,rashtriyachemicalsfertilisers,RCF01,rashtriyachemicalsfertilisers,https://www.moneycontrol.com/india/stockpricequote/fertilisers/rashtriyachemicalsfertilisers/RCF01
373,Ratnamani Metal,RMT,RMT,RATNAMANI,520111,ratnamanimetalstubes,RMT,ratnamanimetalstubes,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/ratnamanimetalstubes/RMT
374,Raymond,R,R,RAYMOND,500330,raymond,R,raymond,https://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/raymond/R
375,RBL Bank,RB03,RB02,RBLBANK,540065,rblbank,RB03,rblbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/rblbank/RB03
376,REC,REC02,REC02,RECLTD,532955,rec,REC02,rec,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/rec/REC02
377,Redington,RI37,RI37,REDINGTON,532805,redingtonindia,RI37,redingtonindia,https://www.moneycontrol.com/india/stockpricequote/computershardware/redingtonindia/RI37
378,Relaxo Footwear,RF07,RF07,RELAXO,530517,relaxofootwears,RF07,relaxofootwears,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/relaxofootwears/RF07
379,Reliance,RI,RI,RELIANCE,500325,relianceindustries,RI,relianceindustries,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI
380,Responsive Ind,SH10,SH10,RESPONIND,505509,responsiveindustries,SH10,responsiveindustries,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/responsiveindustries/SH10
381,RITES,R02,R06,RITES,541556,rites,R02,rites,https://www.moneycontrol.com/india/stockpricequote/diversified/rites/R02
382,S H Kelkar,KC17,KC17,SHK,539450,shkelkarcompany,KC17,shkelkarcompany,https://www.moneycontrol.com/india/stockpricequote/chemicals/shkelkarcompany/KC17
383,SAIL,SAI,SAI,SAIL,500113,steelauthorityindia,SAI,steelauthorityindia,https://www.moneycontrol.com/india/stockpricequote/steellarge/steelauthorityindia/SAI
384,Sanofi India,AP26,HMR,SANOFI,500674,sanofiindia,AP26,sanofiindia,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sanofiindia/AP26
385,SBI,SBI,SBI,SBIN,500112,statebankindia,SBI,statebankindia,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/statebankindia/SBI
386,SBI Life Insura,SLI03,SLI03,SBILIFE,540719,sbilifeinsurancecompany,SLI03,sbilifeinsurancecompany,https://www.moneycontrol.com/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03
387,Schaeffler Ind,FAG,FPB,SCHAEFFLER,505790,schaefflerindia,FAG,schaefflerindia,https://www.moneycontrol.com/india/stockpricequote/bearings/schaefflerindia/FAG
388,Schneider Infra,SEI04,SEI04,SCHNEIDER,534139,schneiderelectricinfrastructure,SEI04,schneiderelectricinfrastructure,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/schneiderelectricinfrastructure/SEI04
389,Sequent Scienti,PID01,VTF,SEQUENT,512529,sequentscientific,PID01,sequentscientific,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sequentscientific/PID01
390,Sheela Foam,SF14,SF30,SFL,540203,sheelafoam,SF14,sheelafoam,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sheelafoam/SF14
391,Shilpa,SM19,SA04,SHILPAMED,530549,shilpamedicare,SM19,shilpamedicare,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/shilpamedicare/SM19
392,Shipping Corp,SCI,SCI,SCI,523598,shippingcorporationindia,SCI,shippingcorporationindia,https://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI
393,Shoppers Stop,SS51,SS51,SHOPERSTOP,532638,shoppersstop,SS51,shoppersstop,https://www.moneycontrol.com/india/stockpricequote/retail/shoppersstop/SS51
394,Shree Cements,SC12,SC12,SHREECEM,500387,shreecements,SC12,shreecements,https://www.moneycontrol.com/india/stockpricequote/cementmajor/shreecements/SC12
395,Shriram City,SCU,SCU,SHRIRAMCIT,532498,shriramcityunionfinance,SCU,shriramcityunionfinance,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU
396,Shriram Trans,STF,STF,SRTRANSFIN,511218,shriramtransportfinancecorporation,STF,shriramtransportfinancecorporation,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramtransportfinancecorporation/STF
397,Siemens,S,S,SIEMENS,500550,siemens,S,siemens,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S
398,SIS,SIS08,SIS07,SIS,540673,sis,SIS08,sis,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sis/SIS08
399,SJVN,S11,S14,SJVN,533206,sjvn,S11,sjvn,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sjvn/S11
400,SKF India,SKF01,SKF,SKFINDIA,500472,skfindia,SKF01,skfindia,https://www.moneycontrol.com/india/stockpricequote/bearings/skfindia/SKF01
401,Sobha,SD6,SD6,SOBHA,532784,sobha,SD6,sobha,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sobha/SD6
402,Solar Ind,SII04,SE20,SOLARINDS,532725,solarindustriesindia,SII04,solarindustriesindia,https://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04
403,Sonata,SS42,SS42,SONATSOFTW,532221,sonatasoftware,SS42,sonatasoftware,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/sonatasoftware/SS42
404,South Ind Bk,SIB,SIB,SOUTHBANK,532218,southindianbank,SIB,southindianbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB
405,SpiceJet,SJ01,ML04,SPICEJET,500285,spicejet,SJ01,spicejet,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01
406,SRF,SRF,SRF,SRF,503806,srf,SRF,srf,https://www.moneycontrol.com/india/stockpricequote/diversified/srf/SRF
407,Star Cement,SFC02,SFC02,STARCEMENT,540575,starcement,SFC02,starcement,https://www.moneycontrol.com/india/stockpricequote/cementmajor/starcement/SFC02
408,Sterlite Techno,ST20,SO03,STLTECH,532374,sterlitetechnologies,ST20,sterlitetechnologies,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/sterlitetechnologies/ST20
409,Strides Pharma,SA10,SA10,STAR,532531,stridespharmascience,SA10,stridespharmascience,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridespharmascience/SA10
410,Sudarshan Chem,SCI08,SCI05,SUDARSCHEM,506655,sudarshanchemicalindustries,SCI08,sudarshanchemicalindustries,https://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08
411,SUMITOMO,SUMIC54292,SUMIC54292,SUMICHEM,542920,sumitomochemicalindialimite,SUMIC54292,sumitomochemicalindialimite,https://www.moneycontrol.com/india/stockpricequote/sumitomo/sumitomochemicalindialimite/SUMIC54292
412,Sun Pharma,SPI,SPI,SUNPHARMA,524715,sunpharmaceuticalindustries,SPI,sunpharmaceuticalindustries,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI
413,Sun Pharma Adv,SPA,SPA,SPARC,532872,sunpharmaadvancedresearchcompany,SPA,sunpharmaadvancedresearchcompany,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaadvancedresearchcompany/SPA
414,Sun TV Network,STN01,STV01,SUNTV,532733,suntvnetwork,STN01,suntvnetwork,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/suntvnetwork/STN01
415,Sundram,SF23,SF,SUNDRMFAST,500403,sundramfasteners,SF23,sundramfasteners,https://www.moneycontrol.com/india/stockpricequote/fasteners/sundramfasteners/SF23
416,Sunteck Realty,SR05,IE06,SUNTECK,512179,sunteckrealty,SR05,sunteckrealty,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunteckrealty/SR05
417,Suprajit Eng,SE15,SE15,SUPRAJIT,532509,suprajitengineering,SE15,suprajitengineering,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15
418,Supreme Ind,SI48,SI48,SUPREMEIND,509930,supremeindustries,SI48,supremeindustries,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48
419,Suzlon Energy,SE17,SE17,SUZLON,532667,suzlonenergy,SE17,suzlonenergy,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/suzlonenergy/SE17
420,Swan Energy,SM09,SM09,SWANENERGY,503310,swanenergy,SM09,swanenergy,https://www.moneycontrol.com/india/stockpricequote/trading/swanenergy/SM09
421,Symphony,SCS04,SCS04,SYMPHONY,517385,symphony,SCS04,symphony,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/symphony/SCS04
422,Syngene Intl,SI10,SI62,SYNGENE,539268,syngeneinternational,SI10,syngeneinternational,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10
423,Tanla Platforms,TS11,TS11,TANLA,532790,tanlaplatforms,TS11,tanlaplatforms,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tanlaplatforms/TS11
424,Tasty Bite,TBE,TBE,TASTYBITE,519091,tastybiteeatables,TBE,tastybiteeatables,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/tastybiteeatables/TBE
425,Tata Chemicals,TC,TC,TATACHEM,500770,tatachemicals,TC,tatachemicals,https://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC
426,Tata Coffee,TC14,CC23,TATACOFFEE,532301,tatacoffee,TC14,tatacoffee,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14
427,Tata Comm,TC17,VSN,TATACOMM,500483,tatacommunications,TC17,tatacommunications,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/tatacommunications/TC17
428,TATA Cons. Prod,TT,TT,TATACONSUM,500800,tataconsumerproducts,TT,tataconsumerproducts,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tataconsumerproducts/TT
429,Tata Elxsi,TE,TEI,TATAELXSI,500408,tataelxsi,TE,tataelxsi,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataelxsi/TE
430,Tata Inv Corp,TIC,TIC,TATAINVEST,501301,tatainvestmentcorporation,TIC,tatainvestmentcorporation,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tatainvestmentcorporation/TIC
431,Tata Metaliks,TM,TM,TATAMETALI,513434,tatametaliks,TM,tatametaliks,https://www.moneycontrol.com/india/stockpricequote/steelpigiron/tatametaliks/TM
432,Tata Motors,TM03,TEL,TATAMOTORS,500570,tatamotors,TM03,tatamotors,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/tatamotors/TM03
433,Tata Power,TPC,TPC,TATAPOWER,500400,tatapowercompany,TPC,tatapowercompany,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/tatapowercompany/TPC
434,Tata Steel,TIS,TIS,TATASTEEL,500470,tatasteel,TIS,tatasteel,https://www.moneycontrol.com/india/stockpricequote/steellarge/tatasteel/TIS
435,TCNS Clothing C,TCC,TCC,TCNSBRANDS,541700,tcnsclothingco,TCC,tcnsclothingco,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/tcnsclothingco/TCC
436,TCS,TCS,TCS,TCS,532540,tataconsultancyservices,TCS,tataconsultancyservices,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS
437,TeamLease Ser.,TS13,TS15,TEAMLEASE,539658,teamleaseservices,TS13,teamleaseservices,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/teamleaseservices/TS13
438,Tech Mahindra,TM4,TM4,TECHM,532755,techmahindra,TM4,techmahindra,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4
439,Thermax,T,T,THERMAX,500411,thermax,T,thermax,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/thermax/T
440,Thyrocare Techn,TT16,TT14,THYROCARE,539871,thyrocaretechnologies,TT16,thyrocaretechnologies,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/thyrocaretechnologies/TT16
441,Time Techno,TT03,TT08,TIMETECHNO,532856,timetechnoplast,TT03,timetechnoplast,https://www.moneycontrol.com/india/stockpricequote/packaging/timetechnoplast/TT03
442,Timken,TI23,TT04,TIMKEN,522113,timkenindia,TI23,timkenindia,https://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23
443,Titan Company,TI01,TI01,TITAN,500114,titancompany,TI01,titancompany,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01
444,TML-D,TATAM57000,TMD,TATAMTRDVR,570001,tatamotorsltd-dvr,TATAM57000,tatamotorsltddvr,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tatamotorsltddvr/TATAM57000
445,Torrent Pharma,TP06,TP06,TORNTPHARM,500420,torrentpharmaceuticals,TP06,torrentpharmaceuticals,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06
446,Torrent Power,TP14,TP13,TORNTPOWER,532779,torrentpower,TP14,torrentpower,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14
447,Trent,T04,L,TRENT,500251,trent,T04,trent,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04
448,Trident,AI01,AI01,TRIDENT,521064,trident,AI01,trident,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01
449,Triveni Turbine,TT14,TT12,TRITURBINE,533655,triveniturbine,TT14,triveniturbine,https://www.moneycontrol.com/india/stockpricequote/electricequipment/triveniturbine/TT14
450,TTK Prestige,TTK02,TTK02,TTKPRESTIG,517506,ttkprestige,TTK02,ttkprestige,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/ttkprestige/TTK02
451,TV TodayNetwork,TVT,TVT,TVTODAY,532515,tvtodaynetwork,TVT,tvtodaynetwork,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT
452,TV18 Broadcast,IBN,GBN,TV18BRDCST,532800,tv18broadcast,IBN,tv18broadcast,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN
453,TVS Motor,TVS,TVS,TVSMOTOR,532343,tvsmotorcompany,TVS,tvsmotorcompany,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS
454,TVS Srichakra,TVS03,TVS03,TVSSRICHAK,509243,tvssrichakra,TVS03,tvssrichakra,https://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03
455,UCO Bank,UCO,UCO,UCOBANK,532505,ucobank,UCO,ucobank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO
456,Uflex,U01,FI08,UFLEX,500148,uflex,U01,uflex,https://www.moneycontrol.com/india/stockpricequote/packaging/uflex/U01
457,Ujjivan Financi,UFS01,UFS01,UJJIVAN,539874,ujjivanfinancialservices,UFS01,ujjivanfinancialservices,https://www.moneycontrol.com/india/stockpricequote/financegeneral/ujjivanfinancialservices/UFS01
458,UltraTechCement,UTC01,UTC,ULTRACEMCO,532538,ultratechcement,UTC01,ultratechcement,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01
459,Union Bank,UBI01,UBI01,UNIONBANK,532477,unionbankindia,UBI01,unionbankindia,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/unionbankindia/UBI01
460,United Brewerie,UB02,UBB,UBL,532478,unitedbreweries,UB02,unitedbreweries,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedbreweries/UB02
461,UPL,UP04,SI10,UPL,512070,upl,UP04,upl,https://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04
462,V-Guard Ind,VI02,VI16,VGUARD,532953,v-guardindustries,VI02,vguardindustries,https://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02
463,V-Mart Retail,VR03,VR03,VMART,534976,v-martretail,VR03,vmartretail,https://www.moneycontrol.com/india/stockpricequote/retail/vmartretail/VR03
464,Vaibhav Global,VG02,VG02,VAIBHAVGBL,532156,vaibhavglobal,VG02,vaibhavglobal,https://www.moneycontrol.com/india/stockpricequote/retail/vaibhavglobal/VG02
465,Vakrangee,VS,VI02,VAKRANGEE,511431,vakrangee,VS,vakrangee,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/vakrangee/VS
466,Vardhman Text,VT10,MSM,VTL,502986,vardhmantextiles,VT10,vardhmantextiles,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmantextiles/VT10
467,Varroc Engineer,VE08,VE08,VARROC,541578,varrocengineering,VE08,varrocengineering,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/varrocengineering/VE08
468,Varun Beverages,VB05,VB05,VBL,540180,varunbeverages,VB05,varunbeverages,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/varunbeverages/VB05
469,Vedanta,SG,SG,VEDL,500295,vedanta,SG,vedanta,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG
470,Venkys,V03,WH01,VENKEYS,523261,venkys,V03,venkys,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/venkys/V03
471,Vinati Organics,VO01,VO01,VINATIORGA,524200,vinatiorganics,VO01,vinatiorganics,https://www.moneycontrol.com/india/stockpricequote/chemicals/vinatiorganics/VO01
472,VIP Industries,VIP,VIP,VIPIND,507880,vipindustries,VIP,vipindustries,https://www.moneycontrol.com/india/stockpricequote/vipindustries/vipindustries/VIP
473,Vodafone Idea,IC8,IC8,IDEA,532822,vodafoneidealimited,IC8,vodafoneidealimited,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/vodafoneidealimited/IC8
474,Voltas,V,V,VOLTAS,500575,voltas,V,voltas,https://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V
475,VRL Logistics,VL03,VL08,VRLLOG,539118,vrllogistics,VL03,vrllogistics,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/vrllogistics/VL03
476,VST,VST,VST,VSTIND,509966,vstindustries,VST,vstindustries,https://www.moneycontrol.com/india/stockpricequote/cigarettes/vstindustries/VST
477,WABCO India,WAB,WAB,WABCOINDIA,533023,wabcoindia,WAB,wabcoindia,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB
478,Welspun Corp,WGS,WGS,WELCORP,532144,welspuncorp,WGS,welspuncorp,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/welspuncorp/WGS
479,Welspun India,WI03,WI03,WELSPUNIND,514162,welspunindia,WI03,welspunindia,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/welspunindia/WI03
480,Westlife Dev,DIC,DIC,WESTLIFE,505533,westlifedevelopment,DIC,westlifedevelopment,https://www.moneycontrol.com/india/stockpricequote/hotels/westlifedevelopment/DIC
481,Whirlpool,WI,WI,WHIRLPOOL,500238,whirlpoolindia,WI,whirlpoolindia,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI
482,Wipro,W,W,WIPRO,507685,wipro,W,wipro,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W
483,Wockhardt,W05,W05,WOCKPHARMA,532300,wockhardt,W05,wockhardt,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wockhardt/W05
484,Zee Entertain,ZEE,ZT,ZEEL,505537,zeeentertainmententerprises,ZEE,zeeentertainmententerprises,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/zeeentertainmententerprises/ZEE
485,Zensar Tech,ZT02,FIC,ZENSARTECH,504067,zensartechnologies,ZT02,zensartechnologies,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02
486,Zydus Wellness,ZW01,CNA,ZYDUSWELL,531335,zyduswellness,ZW01,zyduswellness,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
